Approved symbol	Approved name	Previous symbols	Alias symbols	RefSeq IDs	NCBI Gene ID	NCBI Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
RN7SKP37	RN7SK pseudogene 37				106480844	106480844	NG_044521
RN7SKP38	RN7SK pseudogene 38				106479112	106479112	NG_045007
RN7SKP39	RN7SK pseudogene 39				106480845	106480845	NG_044530
RN7SKP40	RN7SK pseudogene 40				106479113	106479113	NG_042970
RN7SKP41	RNA, 7SK small nuclear pseudogene 41						
RN7SKP42	RN7SK pseudogene 42				106480846	106480846	NG_044536
RN7SKP43	RN7SK pseudogene 43				106481806	106481806	NG_044027
RN7SKP44	RN7SK pseudogene 44				106479114	106479114	NG_042980
RN7SKP45	RN7SK pseudogene 45				106479115	106479115	NG_042987
RN7SKP46	RN7SK pseudogene 46				106480847	106480847	NG_044544
RN7SKP47	RN7SK pseudogene 47				106481974	106481974	NG_043366
RN7SKP48	RN7SK pseudogene 48				106479116	106479116	NG_042996
RN7SKP49	RN7SK pseudogene 49				106480848	106480848	NG_044551
RN7SKP50	RN7SK pseudogene 50				106480459	106480459	NG_045481
RN7SKP51	RN7SK pseudogene 51				106479117	106479117	NG_043006
RN7SKP52	RN7SK pseudogene 52				106479118	106479118	NG_043013
RN7SKP53	RN7SK pseudogene 53				106480849	106480849	NG_045895
RN7SKP54	RN7SK pseudogene 54				107080626	107080626	NG_050729
RN7SKP55	RN7SK pseudogene 55				106479119	106479119	NG_043023
RN7SKP56	RN7SK pseudogene 56				106481807	106481807	NG_045688
RN7SKP57	RN7SK pseudogene 57				106479120	106479120	NG_043030
RN7SKP58	RN7SK pseudogene 58				106480850	106480850	NG_051047
RN7SKP59	RN7SK pseudogene 59				106479121	106479121	NG_043041
RN7SKP60	RN7SK pseudogene 60				106480851	106480851	NG_044575
RN7SKP61	RN7SK pseudogene 61				106479122	106479122	NG_043051
RN7SKP62	RN7SK pseudogene 62				106480460	106480460	NG_043533
RN7SKP63	RN7SK pseudogene 63				106479123	106479123	NG_045295
RN7SKP64	RN7SK pseudogene 64				106480852	106480852	NG_044585
RN7SKP65	RN7SK pseudogene 65				106479124	106479124	NG_043068
RN7SKP66	RN7SK pseudogene 66				106480853	106480853	NG_045182
RN7SKP67	RN7SK pseudogene 67				106479125	106479125	NG_042859
RN7SKP68	RN7SK pseudogene 68				106480854	106480854	NG_044602
RN7SKP69	RN7SK pseudogene 69				106480461	106480461	NG_043540
RN7SKP70	RN7SK pseudogene 70				107057644	107057644	NG_046350
RN7SKP71	RN7SK pseudogene 71				106479126	106479126	NG_043082
RN7SKP72	RN7SK pseudogene 72				106481748	106481748	NG_045505
RN7SKP73	RN7SK pseudogene 73				106480855	106480855	NG_044612
RN7SKP74	RN7SK pseudogene 74				106479127	106479127	NG_043092
RN7SKP75	RN7SK pseudogene 75				106480856	106480856	NG_044620
RN7SKP76	RN7SK pseudogene 76				106481808	106481808	NG_045692
RN7SKP77	RN7SK pseudogene 77				106479128	106479128	NG_043100
RN7SKP78	RN7SK pseudogene 78				106479129	106479129	NG_045317
RN7SKP79	RN7SK pseudogene 79				106480857	106480857	NG_044628
RN7SKP80	RN7SK pseudogene 80				106479130	106479130	NG_045320
RN7SKP81	RN7SK pseudogene 81				106480858	106480858	NG_044636
RN7SKP82	RN7SK pseudogene 82				106480462	106480462	NG_043550
RN7SKP83	RN7SK pseudogene 83				106479131	106479131	NG_045019
RN7SKP84	RNA, 7SK small nuclear pseudogene 84						
RN7SKP85	RN7SK pseudogene 85				106479132	106479132	NG_043134
RN7SKP86	RN7SK pseudogene 86				106480859	106480859	NG_011877
RN7SKP87	RN7SK pseudogene 87				106479133	106479133	NG_043142
RN7SKP88	RN7SK pseudogene 88				106480860	106480860	NG_044649
RN7SKP89	RN7SK pseudogene 89				106479134	106479134	NG_043151
RN7SKP90	RN7SK pseudogene 90				106481809	106481809	NG_044051
RN7SKP91	RN7SK pseudogene 91				106480861	106480861	NG_044656
RN7SKP92	RN7SK pseudogene 92				106479135	106479135	NG_045341
RN7SKP93	RN7SK pseudogene 93				106479136	106479136	NG_043166
RN7SKP94	RN7SK pseudogene 94				106480365	106480365	NG_044788
RN7SKP95	RN7SK pseudogene 95				106480862	106480862	NG_033876
RN7SKP96	RN7SK pseudogene 96				106479137	106479137	NG_045350
RN7SKP97	RN7SK pseudogene 97				106480463	106480463	NG_013210
RN7SKP98	RN7SK pseudogene 98				106480863	106480863	NG_044669
RN7SKP99	RN7SK pseudogene 99				106479138	106479138	NG_045353
RN7SKP100	RN7SK pseudogene 100				106479139	106479139	NG_033880
RN7SKP101	RN7SK pseudogene 101				106480864	106480864	NG_044675
RN7SKP102	RN7SK pseudogene 102				106481810	106481810	NG_044060
RN7SKP103	RN7SK pseudogene 103				106479140	106479140	NG_050928
RN7SKP104	RN7SK pseudogene 104				106480865	106480865	NG_044685
RN7SKP105	RN7SK pseudogene 105				106479141	106479141	NG_045363
RN7SKP106	RN7SK pseudogene 106				106479142	106479142	NG_043216
RN7SKP107	RN7SK pseudogene 107				106480464	106480464	NG_043568
RN7SKP108	RN7SK pseudogene 108				106480866	106480866	NG_044693
RN7SKP109	RN7SK pseudogene 109				106479143	106479143	NG_043227
RN7SKP110	RN7SK pseudogene 110				106480867	106480867	NG_045955
RN7SKP111	RN7SK pseudogene 111				106479144	106479144	NG_045370
RN7SKP112	RN7SK pseudogene 112				106479145	106479145	NG_043247
RN7SKP113	RN7SK pseudogene 113				106480465	106480465	NG_043576
RN7SKP114	RN7SK pseudogene 114				106480868	106480868	NG_045956
RN7SKP115	RN7SK pseudogene 115				106479146	106479146	NG_045375
RN7SKP116	RN7SK pseudogene 116				106480869	106480869	NG_045960
RN7SKP117	RN7SK pseudogene 117				106479147	106479147	NG_043267
RN7SKP118	RN7SK pseudogene 118				106633802	106633802	NG_053040
RN7SKP119	RN7SK pseudogene 119				106481749	106481749	NG_045074
RN7SKP120	RN7SK pseudogene 120				106480870	106480870	NG_044731
RN7SKP121	RN7SK pseudogene 121				106481811	106481811	NG_044069
RN7SKP122	RN7SK pseudogene 122				106479148	106479148	NG_043276
RN7SKP123	RN7SK pseudogene 123				106479149	106479149	NG_043286
RN7SKP124	RN7SK pseudogene 124				106480871	106480871	NG_045964
RN7SKP125	RN7SK pseudogene 125				106479150	106479150	NG_021409
RN7SKP126	RN7SK pseudogene 126				106480872	106480872	NG_044747
RN7SKP127	RN7SK pseudogene 127				106480466	106480466	NG_043584
RN7SKP128	RN7SK pseudogene 128				106479151	106479151	NG_021409
RN7SKP129	RN7SK pseudogene 129				106479152	106479152	NG_043309
RN7SKP130	RN7SK pseudogene 130				106480873	106480873	NG_044756
RN7SKP131	RN7SK pseudogene 131				106479153	106479153	NG_043317
RN7SKP132	RN7SK pseudogene 132				106480874	106480874	NG_044763
RN7SKP133	RN7SK pseudogene 133				106481812	106481812	NG_044078
RN7SKP134	RN7SK pseudogene 134				106479154	106479154	NG_045402
RN7SKP135	RN7SK pseudogene 135				106480875	106480875	NG_044772
RN7SKP136	RN7SK pseudogene 136				106479155	106479155	NG_043335
RN7SKP137	RN7SK pseudogene 137				106479156	106479156	NG_045407
RN7SKP138	symbol withdrawn, see [HGNC:45910](/data/gene-symbol-report/#!/hgnc_id/HGNC:45910)						
RN7SKP139	RN7SK pseudogene 139				106480876	106480876	NG_045979
RN7SKP140	RN7SK pseudogene 140				106480366	106480366	NG_045984
RN7SKP141	RN7SK pseudogene 141				106479157	106479157	NG_043351
RN7SKP142	RN7SK pseudogene 142				106480877	106480877	NG_044789
RN7SKP143	RN7SK pseudogene 143				106479158	106479158	NG_043358
RN7SKP144	RN7SK pseudogene 144				106479159	106479159	NG_043367
RN7SKP145	RN7SK pseudogene 145				106480878	106480878	NG_044797
RN7SKP146	RN7SK pseudogene 146				106479160	106479160	NG_043372
RN7SKP147	RN7SK pseudogene 147				106480879	106480879	NG_044805
RN7SKP148	RN7SK pseudogene 148				106480467	106480467	NG_043594
RN7SKP149	RN7SK pseudogene 149				106479161	106479161	NG_043379
RN7SKP150	RN7SK pseudogene 150				106480880	106480880	NG_044814
RN7SKP151	RN7SK pseudogene 151				106479162	106479162	NG_045430
RN7SKP152	RN7SK pseudogene 152				106479163	106479163	NG_043397
RN7SKP153	RN7SK pseudogene 153				106481813	106481813	NG_044084
RN7SKP154	RN7SK pseudogene 154				106480881	106480881	NG_045995
RN7SKP155	RN7SK pseudogene 155				106479164	106479164	NG_043403
RN7SKP156	RN7SK pseudogene 156				106480882	106480882	NG_044830
RN7SKP157	RN7SK pseudogene 157				106479165	106479165	NG_043412
RN7SKP158	RN7SK pseudogene 158				106480883	106480883	NG_044839
RN7SKP159	RN7SK pseudogene 159				106480468	106480468	NG_043601
RN7SKP160	RN7SK pseudogene 160				106479166	106479166	NG_043421
RN7SKP161	RN7SK pseudogene 161				106479167	106479167	NG_045446
RN7SKP162	RN7SK pseudogene 162				106480884	106480884	NG_044848
RN7SKP163	RN7SK pseudogene 163				106479168	106479168	NG_043437
RN7SKP164	RN7SK pseudogene 164				106480885	106480885	NG_044856
RN7SKP165	RN7SK pseudogene 165				106480367	106480367	NG_044804
RN7SKP166	RN7SK pseudogene 166				106481814	106481814	NG_044095
RN7SKP167	RN7SK pseudogene 167				106479169	106479169	NG_043444
RN7SKP168	RN7SK pseudogene 168				106479170	106479170	NG_043455
RN7SKP169	RN7SK pseudogene 169				106480886	106480886	NG_044867
RN7SKP170	RN7SK pseudogene 170				106479171	106479171	NG_045457
RN7SKP171	RN7SK pseudogene 171				106480887	106480887	NG_046019
RN7SKP172	RN7SK pseudogene 172				106480469	106480469	NG_043608
RN7SKP173	RN7SK pseudogene 173				106635535	106635535	NG_042887
RN7SKP174	RN7SK pseudogene 174				106479172	106479172	NG_043467
RN7SKP175	RN7SK pseudogene 175				106479173	106479173	NG_043474
RN7SKP176	RN7SK pseudogene 176				106635536	106635536	NG_042888
RN7SKP177	RN7SK pseudogene 177				106479174	106479174	NG_045467
RN7SKP178	RN7SK pseudogene 178				106479175	106479175	NG_045063
RN7SKP179	RN7SK pseudogene 179				106481815	106481815	NG_044105
RN7SKP180	RN7SK pseudogene 180				106480888	106480888	NG_046022
RN7SKP181	RN7SK pseudogene 181				106479176	106479176	NG_043495
RN7SKP182	RN7SK pseudogene 182				106479177	106479177	NG_043502
RN7SKP183	RN7SK pseudogene 183				106480889	106480889	NG_044888
RN7SKP184	RN7SK pseudogene 184				106480470	106480470	NG_045509
RN7SKP185	RN7SK pseudogene 185				106479178	106479178	NG_045478
RN7SKP186	RN7SK pseudogene 186	RN7SKP138			106480692	106480692	NG_043345
RN7SKP187	RN7SK pseudogene 187				106480890	106480890	NG_041797
RN7SKP188	RN7SK pseudogene 188				106479179	106479179	NG_043521
RN7SKP189	RN7SK pseudogene 189				106479180	106479180	NG_043528
RN7SKP190	RN7SK pseudogene 190				106480891	106480891	NG_044903
RN7SKP191	RN7SK pseudogene 191				106480471	106480471	NG_043622
RN7SKP192	RN7SK pseudogene 192				106480892	106480892	NG_044912
RN7SKP193	RN7SK pseudogene 193				106479181	106479181	NG_043537
RN7SKP194	RN7SK pseudogene 194				106480893	106480893	NG_044918
RN7SKP195	RN7SK pseudogene 195				106481816	106481816	NG_008799
RN7SKP196	RN7SK pseudogene 196				106479182	106479182	NG_043546
RN7SKP197	RN7SK pseudogene 197				106480894	106480894	NG_045209
RN7SKP198	RN7SK pseudogene 198				106479183	106479183	NG_045067
RN7SKP199	RN7SK pseudogene 199				106479184	106479184	NG_043563
RN7SKP200	RN7SK pseudogene 200				106480895	106480895	NG_051613
RN7SKP201	RNA, 7SK small nuclear pseudogene 201						
RN7SKP202	RN7SK pseudogene 202				106480472	106480472	NG_045515
RN7SKP203	RN7SK pseudogene 203				106479185	106479185	NG_043572
RN7SKP204	RN7SK pseudogene 204				106480896	106480896	NG_045005
RN7SKP205	RN7SK pseudogene 205				106479186	106479186	NG_043581
RN7SKP206	RN7SK pseudogene 206				106479187	106479187	NG_043591
RN7SKP207	RN7SK pseudogene 207				106480897	106480897	NG_042912
RN7SKP208	RN7SK pseudogene 208				106481817	106481817	NG_044120
RN7SKP209	RN7SK pseudogene 209				106479188	106479188	NG_043599
RN7SKP210	RN7SK pseudogene 210				106480898	106480898	NG_045246
RN7SKP211	RN7SK pseudogene 211				106479189	106479189	NG_043605
RN7SKP212	RN7SK pseudogene 212				106481750	106481750	NG_043618
RN7SKP213	RN7SK pseudogene 213				106480899	106480899	NG_042926
RN7SKP214	RN7SK pseudogene 214				106480473	106480473	NG_052003
RN7SKP215	RNA, 7SK small nuclear pseudogene 215						
RN7SKP216	RN7SK pseudogene 216				106479190	106479190	NG_043612
RN7SKP217	RN7SK pseudogene 217				106479191	106479191	NG_043620
RN7SKP218	RN7SK pseudogene 218				106480900	106480900	NG_042934
RN7SKP219	RN7SK pseudogene 219				106479192	106479192	NG_043626
RN7SKP220	RN7SK pseudogene 220				106480901	106480901	NG_042942
RN7SKP221	RN7SK pseudogene 221				106480474	106480474	NG_045524
RN7SKP222	RN7SK pseudogene 222				106479193	106479193	NG_043633
RN7SKP223	RN7SK pseudogene 223				106479194	106479194	NG_045522
RN7SKP224	RN7SK pseudogene 224				106480902	106480902	NG_042950
RN7SKP225	RN7SK pseudogene 225				106479195	106479195	NG_043648
RN7SKP226	RN7SK pseudogene 226				106480903	106480903	NG_042958
RN7SKP227	RN7SK pseudogene 227				106481818	106481818	NG_044126
RN7SKP228	RN7SK pseudogene 228				106479196	106479196	NG_043656
RN7SKP229	RN7SK pseudogene 229				106480904	106480904	NG_042967
RN7SKP230	RN7SK pseudogene 230				106479197	106479197	NG_043663
RN7SKP231	RN7SK pseudogene 231				106479198	106479198	NG_043670
RN7SKP232	RN7SK pseudogene 232				106480905	106480905	NG_042977
RN7SKP233	RN7SK pseudogene 233				106480475	106480475	NG_043652
RN7SKP234	RN7SK pseudogene 234				106480368	106480368	NG_046919
RN7SKP235	RN7SK pseudogene 235				106479199	106479199	NG_043676
RN7SKP236	RN7SK pseudogene 236				106480906	106480906	NG_042983
RN7SKP237	RN7SK pseudogene 237				106479200	106479200	NG_043684
RN7SKP238	RN7SK pseudogene 238				106479201	106479201	NG_011875
RN7SKP239	RN7SK pseudogene 239				106480907	106480907	NG_045275
RN7SKP240	RN7SK pseudogene 240				106479202	106479202	NG_045546
RN7SKP241	RN7SK pseudogene 241				107063536	107063536	NG_046354
RN7SKP242	RN7SK pseudogene 242				106480908	106480908	NG_043001
RN7SKP243	RN7SK pseudogene 243				106481819	106481819	NG_044135
RN7SKP244	RN7SK pseudogene 244				106479203	106479203	NG_045088
RN7SKP245	RN7SK pseudogene 245				106480909	106480909	NG_045282
RN7SKP246	RN7SK pseudogene 246				106479204	106479204	NG_043713
RN7SKP247	RN7SK pseudogene 247				106479205	106479205	NG_043721
RN7SKP248	RN7SK pseudogene 248				106480476	106480476	NG_045528
RN7SKP249	RN7SK pseudogene 249				106480910	106480910	NG_043018
RN7SKP250	RN7SK pseudogene 250				106479206	106479206	NG_043730
RN7SKP251	RN7SK pseudogene 251				106633807	106633807	NG_042879
RN7SKP252	RN7SK pseudogene 252				106479207	106479207	NG_043738
RN7SKP253	RN7SK pseudogene 253				106479208	106479208	NG_045560
RN7SKP254	RN7SK pseudogene 254				106481820	106481820	NG_044141
RN7SKP255	RN7SK pseudogene 255				106479209	106479209	NG_043752
RN7SKP256	RN7SK pseudogene 256				106480911	106480911	NG_043027
RN7SKP257	RN7SK pseudogene 257				106479210	106479210	NG_045567
RN7SKP258	RN7SK pseudogene 258				106480912	106480912	NG_045290
RN7SKP259	RN7SK pseudogene 259				106481751	106481751	NG_043624
RN7SKP260	RN7SK pseudogene 260				106479211	106479211	NG_045094
RN7SKP261	RN7SK pseudogene 261				106480477	106480477	NG_043666
RN7SKP262	RN7SK pseudogene 262				106479212	106479212	NG_043774
RN7SKP263	RN7SK pseudogene 263				106480913	106480913	NG_043047
RN7SKP264	RN7SK pseudogene 264				106479213	106479213	NG_045575
RN7SKP265	RN7SK pseudogene 265				106480914	106480914	NG_045294
RN7SKP266	RN7SK pseudogene 266				106479214	106479214	NG_045096
RN7SKP267	RN7SK pseudogene 267				106480478	106480478	NG_043672
RN7SKP268	RN7SK pseudogene 268				106479215	106479215	NG_045581
RN7SKP269	RN7SK pseudogene 269				106480915	106480915	NG_032954
RN7SKP270	RN7SK pseudogene 270				106479216	106479216	NG_043806
RN7SKP271	RN7SK pseudogene 271				106480916	106480916	NG_045016
RN7SKP272	RN7SK pseudogene 272				106479217	106479217	NG_043816
RN7SKP273	RN7SK pseudogene 273				106481821	106481821	NG_045730
RN7SKP274	RNA, 7SK small nuclear pseudogene 274						
RN7SKP275	RN7SK pseudogene 275				106480917	106480917	NG_051593
RN7SKP276	RN7SK pseudogene 276				106479218	106479218	NG_043823
RN7SKP277	RN7SK pseudogene 277				106479219	106479219	NG_043832
RN7SKP278	RN7SK pseudogene 278				106480918	106480918	NG_043088
RN7SKP279	RN7SK pseudogene 279				106480479	106480479	NG_043679
RN7SKP280	RN7SK pseudogene 280				106479220	106479220	NG_043839
RN7SKP281	RN7SK pseudogene 281				106480369	106480369	NG_045200
RN7SKP282	RN7SK pseudogene 282				106480919	106480919	NG_043096
RN7SKP283	RN7SK pseudogene 283				106479221	106479221	NG_045098
RN7SKP284	RN7SK pseudogene 284				106479222	106479222	NG_043852
RN7SKP285	RN7SK pseudogene 285				106480920	106480920	NG_043105
RN7SKP286	RN7SK pseudogene 286				106481822	106481822	NG_044153
RN7SKP287	RN7SK pseudogene 287				106480921	106480921	NG_043116
RN7SKP288	RN7SK pseudogene 288				106479223	106479223	NG_021177
RN7SKP289	RN7SK pseudogene 289				106479224	106479224	NG_043862
RN7SKP290	RN7SK pseudogene 290				106480480	106480480	NG_043689
RN7SKP291	RN7SK pseudogene 291				106480922	106480922	NG_043123
RN7SKP292	RN7SK pseudogene 292				106479225	106479225	NG_045614
RN7SKP293	RN7SK pseudogene 293				106480923	106480923	NG_043131
RN7SKP294	RN7SK pseudogene 294				106479226	106479226	NG_043877
RN7SKP295	RN7SK pseudogene 295				106480924	106480924	NG_043139
RN7SKP296	RN7SK pseudogene 296				106481823	106481823	NG_029105
RN7SKP297	RN7SK pseudogene 297				106479227	106479227	NG_043884
RN7SKP298	RN7SK pseudogene 298				106479228	106479228	NG_043894
RN7SKP299	RN7SK pseudogene 299				106480925	106480925	NG_043147
RN7SL1	RNA component of signal recognition particle 7SL1	RN7SL	7SL, 7L1a, RNSRP1	NR_002715	6029	6029	NR_002715
RN7SL2	RNA component of signal recognition particle 7SL2		7SL1c, 7L30.1, RNSRP2	NR_027260	378706	378706	NR_027260
RN7SL3	RNA component of signal recognition particle 7SL3	RN7SL631P	7L30.2, RNSRP3	NG_011406	378707	378707	NR_145670
RN7SL4P	RNA, 7SL, cytoplasmic 4, pseudogene	RN7SLP1, RN7SL427P	7L28	NG_002425	6030	6030	NG_002425
RN7SL5P	RNA, 7SL, cytoplasmic 5, pseudogene	RN7SLP2, RN7SL249P	7LEM1	NG_002426	6031	6031	NG_002426
RN7SL6P	RNA, 7SL, cytoplasmic 6, pseudogene	RN7SLP3, RN7SL848P	7L7	NG_002427	6032	6032	NG_002427
RN7SL7P	RNA, 7SL, cytoplasmic 7, pseudogene	RN7SLP4, RN7SL27P	7L23	NG_002428	6033	6033	NG_002428
RN7SL8P	RNA, 7SL, cytoplasmic 8, pseudogene	RN7SLP5, RN7SL433P	7L63	NG_002429	6034	6034	NG_002429
RN7SL9P	RNA, 7SL, cytoplasmic 9, pseudogene						
RN7SL10P	RNA, 7SL, cytoplasmic 10, pseudogene						
RN7SL11P	RNA, 7SL, cytoplasmic 11, pseudogene				106479229	106479229	NG_045621
RN7SL12P	RNA, 7SL, cytoplasmic 12, pseudogene				106480926	106480926	NG_045340
RN7SL13P	RNA, 7SL, cytoplasmic 13, pseudogene						
RN7SL14P	RNA, 7SL, cytoplasmic 14, pseudogene				106480481	106480481	NG_043696
RN7SL15P	RNA, 7SL, cytoplasmic 15, pseudogene				106479230	106479230	NG_043908
RN7SL16P	RNA, 7SL, cytoplasmic 16, pseudogene				106479231	106479231	NG_045629
RN7SL17P	RNA, 7SL, cytoplasmic 17, pseudogene						
RN7SL18P	RNA, 7SL, cytoplasmic 18, pseudogene				106480927	106480927	NG_045024
RN7SL19P	RNA, 7SL, cytoplasmic 19, pseudogene				106480370	106480370	NG_045999
RN7SL20P	RNA, 7SL, cytoplasmic 20, pseudogene				106479232	106479232	NG_034067
RN7SL21P	RNA, 7SL, cytoplasmic 21, pseudogene						
RN7SL22P	RNA, 7SL, cytoplasmic 22, pseudogene				106480928	106480928	NG_045348
RN7SL23P	RNA, 7SL, cytoplasmic 23, pseudogene				106480482	106480482	NG_023393
RN7SL24P	RNA, 7SL, cytoplasmic 24, pseudogene						
RN7SL25P	RNA, 7SL, cytoplasmic 25, pseudogene				106479233	106479233	NG_043925
RN7SL26P	RNA, 7SL, cytoplasmic 26, pseudogene				106479234	106479234	NG_043931
RN7SL27P	symbol withdrawn, see [HGNC:10042](/data/gene-symbol-report/#!/hgnc_id/HGNC:10042)						
RN7SL28P	RNA, 7SL, cytoplasmic 28, pseudogene				106480929	106480929	NG_045026
RN7SL29P	RNA, 7SL, cytoplasmic 29, pseudogene						
RN7SL30P	RNA, 7SL, cytoplasmic 30, pseudogene				106479235	106479235	NG_045645
RN7SL31P	RNA, 7SL, cytoplasmic 31, pseudogene						
RN7SL32P	RNA, 7SL, cytoplasmic 32, pseudogene				106480930	106480930	NG_033988
RN7SL33P	RNA, 7SL, cytoplasmic 33, pseudogene				106479236	106479236	NG_043947
RN7SL34P	RNA, 7SL, cytoplasmic 34, pseudogene				106481824	106481824	NG_044170
RN7SL35P	RNA, 7SL, cytoplasmic 35, pseudogene				106480931	106480931	NG_043197
RN7SL36P	RNA, 7SL, cytoplasmic 36, pseudogene				106479237	106479237	NG_045651
RN7SL37P	RNA, 7SL, cytoplasmic 37, pseudogene				106479238	106479238	NG_032772
RN7SL38P	RNA, 7SL, cytoplasmic 38, pseudogene				106480932	106480932	NG_043204
RN7SL39P	RNA, 7SL, cytoplasmic 39, pseudogene				106479239	106479239	NG_045660
RN7SL40P	RNA, 7SL, cytoplasmic 40, pseudogene				106480483	106480483	NG_045089
RN7SL41P	RNA, 7SL, cytoplasmic 41, pseudogene				106480933	106480933	NG_043212
RN7SL42P	RNA, 7SL, cytoplasmic 42, pseudogene				106479240	106479240	NG_045664
RN7SL43P	RNA, 7SL, cytoplasmic 43, pseudogene				106479241	106479241	NG_043983
RN7SL44P	RNA, 7SL, cytoplasmic 44, pseudogene				106480934	106480934	NG_043221
RN7SL45P	RNA, 7SL, cytoplasmic 45, pseudogene				106481975	106481975	NG_045424
RN7SL46P	RNA, 7SL, cytoplasmic 46, pseudogene						
RN7SL47P	RNA, 7SL, cytoplasmic 47, pseudogene				106479242	106479242	NG_045672
RN7SL48P	RNA, 7SL, cytoplasmic 48, pseudogene				106481825	106481825	NG_045746
RN7SL49P	RNA, 7SL, cytoplasmic 49, pseudogene				106480935	106480935	NG_045369
